Time,X,Y
0,0,0
0.1,2.18809,5.10578
0.2,4.37619,10.1135
0.3,6.56428,15.023
0.4,8.75238,19.8345
0.5,10.9405,24.5479
0.6,13.1286,29.1632
0.7,15.3167,33.6803
0.8,17.5048,38.0994
0.9,19.6928,42.4204
1,21.8809,46.6433
1.1,24.069,50.768
1.2,26.2571,54.7947
1.3,28.4452,58.7233
1.4,30.6333,62.5538
1.5,32.8214,66.2862
1.6,35.0095,69.9204
1.7,37.1976,73.4566
1.8,39.3857,76.8947
1.9,41.5738,80.2347
2,43.7619,83.4765
2.1,45.95,86.6203
2.2,48.1381,89.666
2.3,50.3262,92.6136
2.4,52.5143,95.4631
2.5,54.7024,98.2144
2.6,56.8905,100.868
2.7,59.0785,103.423
2.8,61.2666,105.88
2.9,63.4547,108.239
3,65.6428,110.5
3.1,67.8309,112.663
3.2,70.019,114.727
3.3,72.2071,116.694
3.4,74.3952,118.562
3.5,76.5833,120.333
3.6,78.7714,122.005
3.7,80.9595,123.579
3.8,83.1476,125.055
3.9,85.3357,126.433
4,87.5238,127.713
4.1,89.7119,128.895
4.2,91.9,129.979
4.3,94.0881,130.964
4.4,96.2762,131.852
4.5,98.4642,132.641
4.6,100.652,133.332
4.7,102.84,133.925
4.8,105.029,134.421
4.9,107.217,134.817
5,109.405,135.116
5.1,111.593,135.317
5.2,113.781,135.42
5.3,115.969,135.424
5.4,118.157,135.331
5.5,120.345,135.139
5.6,122.533,134.85
5.7,124.721,134.462
5.8,126.909,133.976
5.9,129.098,133.392
6,131.286,132.71
6.1,133.474,131.929
6.2,135.662,131.051
6.3,137.85,130.075
6.4,140.038,129
6.5,142.226,127.828
6.6,144.414,126.557
6.7,146.602,125.188
6.8,148.79,123.721
6.9,150.979,122.156
7,153.167,120.493
7.1,155.355,118.732
7.2,157.543,116.872
7.3,159.731,114.915
7.4,161.919,112.859
7.5,164.107,110.706
7.6,166.295,108.454
7.7,168.483,106.104
7.8,170.671,103.656
7.9,172.859,101.11
8,175.048,98.4662
8.1,177.236,95.724
8.2,179.424,92.8836
8.3,181.612,89.9452
8.4,183.8,86.9087
8.5,185.988,83.7741
8.6,188.176,80.5413
8.7,190.364,77.2105
8.8,192.552,73.7816
8.9,194.74,70.2546
9,196.928,66.6294
9.1,199.117,62.9062
9.2,201.305,59.0849
9.3,203.493,55.1655
9.4,205.681,51.148
9.5,207.869,47.0323
9.6,210.057,42.8186
9.7,212.245,38.5068
9.8,214.433,34.0969
9.9,216.621,29.5888
10,218.809,24.9827
10.1,220.998,20.2785
10.2,223.186,15.4762
10.3,225.374,10.5757
10.4,227.562,5.57723
10.5,229.75,0.480604
